status;official;origin;balancedVersion;IGNORE_workComment;card_code;title;IGNORE_phaseUp;phaseUp;phaseDown;cost;startingMegacredits;card_Type;IGNORE_tag_one;IGNORE_tag_two;IGNORE_tag_three;tagsId;vpNumber;vpScaling;IGNORE_requirement_desc;IGNORE_description;effectSummaryType;effectSummaryOption;effectSummaryType2;effectSummaryOption2;prerequisiteType;prerequisiteTresholdType;prerequisitePaidRessource;prerequisiteTag;prerequisiteTagId;prerequisiteTresholdStep;prerequisiteTresholdValue;IGNORE_stockableRessource1;IGNORE_stockableRessource1;IGNORE_stockableRessource1;stockableRessource;title_en;title_fr;vpText_en;vpText_fr;effectSummaryText_en;effectSummaryText_fr;effectText_en;effectText_fr;effectSummaryText2_en;effectSummaryText2_fr;effectText2_en;effectText2_fr;playedText_en;playedText_fr;prerequisiteSummaryText_en;prerequisiteSummaryText_fr;prerequisiteText_en;prerequisiteText_fr;actionTextOption1_en;actionTextOption1_fr;actionTextOption2_en;actionTextOption2_fr
validated;yes;base;;;1;Adaptation Technology;I-II;I-II;;12;;blueProject;science;;;2;1;0;;EFFECT: When you play a card with requirements, you can consider oxygen or temperature a higher or lower color. This cannot be combined with other effects.;trigger;;;;;;;;;;;;;;;Adaptation Technology;Technologie d'Adaptation;;;$other_temperature$$other_oxygen$$other_infrastructure$:$skipline$$other_purplesquare$$other_redsquare$$other_yellowsquare$$other_whitesquare$$skipline$$other_arrowtop$$other_arrowbottom$;$other_temperature$$other_oxygen$$other_infrastructure$:$skipline$$other_purplesquare$$other_redsquare$$other_yellowsquare$$other_whitesquare$$skipline$$other_arrowtop$$other_arrowbottom$;EFFECT: When you play a card with requirements, you can consider oxygen or temperature or infrastructure a higher or lower color. This cannot be combined with other effects.;EFFET: Lorsque vous jouez une carte avec un prérequis, vous pouvez considérer que la température, l'oxygene et l'infrastructure sont d'un niveau de couleur inférieur ou supérieur. Cela ne peut pas être modifié davantage par d'autres effets. ;;;;;;;;;;;;;;
validated;yes;base;;;2;Advanced Alloys;I-II;I-II;;9;;blueProject;building;;;0;;0;;EFFECT: Each titanium you have reduces the cost of cards by an additional 1 MC. Each Steel you have reduces the cost of cards by an additional 1 MC.;trigger;;;;;;;;;;;;;;;Advanced Alloys;Alliages avancés;;;$ressource_titanium$:$tag_space$$ressource_megacreditvoid_-1$$skipline$AND$skipline$$ressource_steel$:$tag_building$$ressource_megacreditvoid_-1$;$ressource_titanium$:$tag_space$$ressource_megacreditvoid_-1$$skipline$ET$skipline$$ressource_steel$:$tag_building$$ressource_megacreditvoid_-1$;EFFECT: Each titanium you have reduces the cost of cards by an additional 1 MC. Each Steel you have reduces the cost of cards by an additional 1 MC.;EFFET: Le coût associé aux cartes $tag_space$ est réduit de 1 MC supllémentaire pour chaque titane en votre possession. Le coût associé aux cartes $tag_building$ est réduit de 1 MC supplémentaire pour chaque acier en votre possession. ;;;;;;;;;;;;;;
validated;yes;base;;;3;Advanced Screening Technology;III;III;;6;;blueProject;science;;;2;;0;;ACTION: Reveal the top 3 cards of the deck. Leave one of the revealed cards in your hand if it has a science/plant tag. Discard the rest.;action;;;;;;;;;;;;;;;Advanced Screening Technology;Technologie de Criblage Avancée;;;$other_arrow$$skipline$3$other_researchcard$$tag_science$/$tag_plant$$skipline$$other_hand$$ressource_card$;$other_arrow$$skipline$3$other_researchcard$$tag_science$/$tag_plant$$skipline$$other_hand$$ressource_card$;ACTION: Reveal the top three cards of the deck. Place a card with a $tag_science$ or $tag_plant$ revealed this way into your hand. Discard the rest;ACTION: Révélez les trois premières cartes de la pioche. Placez dans votre main une carte ayant un $tag_science$ ou $tag_plant$ ainsi révélée. Défaussez les autres. ;;;;;;;;;;;3$other_researchcard$$tag_science$/$tag_plant$$skipline$+1$ressource_card$;;;
validated;yes;base;;;4;AI Central;III;III;;22;;blueProject;science;building;;2,0;2;0;5 Science tags;ACTION: Draw 2 cards.;action;;;;tag;min;;science;2;;5;;;;;AI Central;IA Centrale;;;$other_arrow$ 2 $ressource_card$;$other_arrow$ 2 $ressource_card$;ACTION: Draw 2 cards.;ACTION: Piochez 2 cartes.;;;;;;;5$tag_science$;5$tag_science$;Requires 5 $tag_science$.;Requiert 5 $tag_science$.;$ressource_card$$ressource_card$;;;
validated;yes;base;;need alternative pay mechanic;5;Anaerobic Microorganisms;I-II;I-II;;10;;blueProject;microbe;;;8;;0;;"EFFECT: When you play a card, you can remove 2 microbes from this card to pay 10 MC less for it.
EFFECT: Whenever you play a ANIMAL, MICROBES or PLANT, including this one, add a microbe to this card.";trigger;;;;;;;;;;;microbe;;;microbe;Anaerobic Microorganisms;Microorganismes Anaérobiques;;;$ressource_card$: -2$ressource_microbe$:$ressource_megacreditvoid_-10$$skipline$$tag_microbe$/$tag_animal$/$tag_plant$:$skipline$$ressource_microbe$;$ressource_card$: -2$ressource_microbe$:$ressource_megacreditvoid_-10$$skipline$$tag_microbe$/$tag_animal$/$tag_plant$:$skipline$$ressource_microbe$;"EFFECT: When you play a card, you can remove 2 microbes from this card to pay 10 MC less for it.
EFFECT: Whenever you play a $tag_animal$, $tag_microbe$ or $tag_plant$, including this one, add a microbe to this card.";EFFET: Lorsque vous jouez une carte, vous pouvez retirer 2 microbes de cette carte pour réduire de 10 MC le coût associé à la carte jouée. EFFET: Lorsque vous jouez un $tag_animal$, $tag_microbe$, ou $tag_plant$, y compris celui-ci, ajoutez un microbe sur cette carte;;;;;;;;;;;;;;
validated;yes;base;;;6;Anti-Gravity Technology;I-II;I-II;;18;;blueProject;science;;;2;3;0;5 Science tags;EFFECT: When you play a card, gain 2 heat and 2 plants.;trigger;;;;;;;;;;;;;;;Anti-Gravity Technology;Technologie Anti-Gravité;;;$ressource_card$:$skipline$$ressource_heat$$ressource_heat$$skipline$$ressource_plant$$ressource_plant$;$ressource_card$:$skipline$$ressource_heat$$ressource_heat$$skipline$$ressource_plant$$ressource_plant$;EFFECT: When you play a card, gain 2 heat and 2 plants.;EFFET: Lorsque vous jouez une carte, gagnez 2 chaleurs et 2 plantes. ;;;;;;;5$tag_science$;5$tag_science$;Requires 5 $tag_science$.;Requiert 5 $tag_science$;;;;
validated;yes;base;;;7;Aquifer Pumping;III;III;;14;;blueProject;building;;;0;;0;;ACTION: Spend 10 MC to flip an ocean tile. Reduce this cost by 2 MC per steel production you have.;action;scalingCostActivation;;;;;;;;;;;;;;Aquifer Pumping;Pompage de l'Aquifère;;;$other_arrow$$skipline$$ressource_megacreditvoid_10$:$other_ocean$$skipline$$ressource_megacreditvoid_-2$/$ressource_steel$;$other_arrow$$skipline$$ressource_megacreditvoid_10$:$other_ocean$$skipline$$ressource_megacreditvoid_-2$/$ressource_steel$;ACTION: Spend 10 MC to flip an ocean tile. Reduce this cost by 2 MC per steel production you have.;ACTION: Dépensez 10 MC pour révéler une tuile Océan. Ce coût est réduit de 2 MC par acier en votre possession. ;;;;;;;;;;;$ressource_megacreditvoid_10$:$other_ocean$$skipline$$ressource_megacreditvoid_-2$/$ressource_steel$;;;
validated;yes;base;;;8;Arctic Algae;I-III;I-III;;19;;blueProject;plant;;;6;2;0;Temperature red;EFFECT: When you flip an ocean tile, gain 4 plants.;trigger;;;;;;;;;;;;;;;Arctic Algae;Algues Arctiques;;;$other_ocean$: 4$ressource_plant$;$other_ocean$: 4$ressource_plant$;EFFECT: When you flip an ocean tile, gain 4 plants.;EFFET: Lorsque vous révélez une tuile Océan, gagnez 4 plantes. ;;;;;;;$other_temperature$;$other_temperature$;Requires a Red or warmer Temperature level.;Requiert un niveau de température rouge ou plus chaud. ;;;;
validated;yes;base;;;9;Artificial Jungle;III;III;;5;;blueProject;;;;;;0;;ACTION: Spend 1 plant to draw 1 card.;action;;;;;;;;;;;;;;;Artificial Jungle;Jungle Artificielle;;;$other_arrow$$skipline$$ressource_plant$: $ressource_card$;$other_arrow$$skipline$$ressource_plant$: $ressource_card$;ACTION: Spend 1 plant to draw 1 card.;ACTION: Dépensez 1 plante pour piocher 1 carte.;;;;;;;;;;;-$ressource_plant$: $ressource_card$;;;
validated;yes;base;;;10;Assembly Lines;III;III;;13;;blueProject;space;;;1;;0;;"EFFECT: Whenever you use an ""ACTION:"" from one of your cards, gain 1 MC.";trigger;;;;;;;;;;;;;;;Assembly Lines;Chaînes d'Assemblage;;;"""$other_arrow$"": $ressource_megacreditvoid_1$";"""$other_arrow$"": $ressource_megacreditvoid_1$";"EFFECT: Whenever you use an ""ACTION:"" from one of your cards, gain 1 MC.";"EFFET: Lorsque vous utilisez l'effet ""ACTION:"" de l'une de vos cartes, gagnez 1 MC.";;;;;;;;;;;;;;
